Modalities,Best AUC,BestEpoch
"T1,T2",0.7920704845814978,8
"T1,T2star",0.7910685805422647,7
"T1,FLAIR",0.8054465358430116,15
"T1,MRA",0.8225677830940988,14
"T2,T2star",0.8218570683359415,13
"T2,FLAIR",0.8549236440231701,16
"T2,MRA",0.8339073861461921,10
"T2star,FLAIR",0.7808340727595386,12
"T2star,MRA",0.7941666666666667,12
"FLAIR,MRA",0.7677655677655678,12
"T1,T2,T2star",0.8056618819776714,19
"T1,T2,FLAIR",0.788546255506608,13
"T1,T2,MRA",0.793939393939394,13
"T1,T2star,FLAIR",0.8161084529505582,19
"T1,T2star,MRA",0.8081778483525208,15
"T1,FLAIR,MRA",0.7940988835725677,18
"T2,T2star,FLAIR",0.7996870109546166,12
"T2,T2star,MRA",0.8015631427396134,13
"T2,FLAIR,MRA",0.7981818181818182,7
"T2star,FLAIR,MRA",0.760625,11
